game_id,season,week,home_team,away_team,provider,spread_home,over_under,openingSpread,formattedSpread
401112503,2019,11,NC State,Clemson,consensus,35.0,54.5,,Clemson -35
401112503,2019,11,NC State,Clemson,Caesars,35.0,55.0,,Clemson -35
401114305,2019,11,Florida Atlantic,Florida International,Bovada,-12.5,59.0,,Florida Atlantic -12.5
401114305,2019,11,Florida Atlantic,Florida International,teamrankings,-11.5,59.5,,Florida Atlantic -11.5
401114305,2019,11,Florida Atlantic,Florida International,numberfire,-11.5,59.0,,Florida Atlantic -11.5
401114305,2019,11,Florida Atlantic,Florida International,consensus,-11.5,59.0,,Florida Atlantic -11.5
401114305,2019,11,Florida Atlantic,Florida International,Caesars,-11.5,58.5,,Florida Atlantic -11.5
401114160,2019,11,Arizona State,USC,Bovada,4.5,54.5,,USC -4.5
401114160,2019,11,Arizona State,USC,teamrankings,5.0,54.0,,USC -5
401114160,2019,11,Arizona State,USC,numberfire,3.5,54.0,,USC -3.5
401114160,2019,11,Arizona State,USC,consensus,4.0,54.5,,USC -4
401114160,2019,11,Arizona State,USC,Caesars,4.0,54.5,,USC -4
401112506,2019,11,Virginia Tech,Wake Forest,Bovada,3.0,61.0,,Wake Forest -3.0
401112506,2019,11,Virginia Tech,Wake Forest,teamrankings,3.0,61.0,,Wake Forest -3
401112506,2019,11,Virginia Tech,Wake Forest,numberfire,2.5,60.5,,Wake Forest -2.5
401112506,2019,11,Virginia Tech,Wake Forest,consensus,2.5,60.5,,Wake Forest -2.5
401112506,2019,11,Virginia Tech,Wake Forest,Caesars,2.5,60.5,,Wake Forest -2.5
401110845,2019,11,Georgia,Missouri,Bovada,-19.5,48.0,,Georgia -19.5
401110845,2019,11,Georgia,Missouri,teamrankings,-18.5,48.0,,Georgia -18.5
401110845,2019,11,Georgia,Missouri,numberfire,-18.0,48.0,,Georgia -18
401110845,2019,11,Georgia,Missouri,consensus,-18.5,48.0,,Georgia -18.5
401110845,2019,11,Georgia,Missouri,Caesars,-19.5,48.0,,Georgia -19.5
401121965,2019,11,Troy,Georgia Southern,Bovada,2.0,57.0,,Georgia Southern -2.0
401121965,2019,11,Troy,Georgia Southern,teamrankings,2.5,57.0,,Georgia Southern -2.5
401121965,2019,11,Troy,Georgia Southern,numberfire,2.5,57.0,,Georgia Southern -2.5
401121965,2019,11,Troy,Georgia Southern,consensus,2.5,56.0,,Georgia Southern -2.5
401121965,2019,11,Troy,Georgia Southern,Caesars,2.0,56.0,,Georgia Southern -2
401114306,2019,11,Louisiana Tech,North Texas,Bovada,-6.0,72.5,,Louisiana Tech -6.0
401114306,2019,11,Louisiana Tech,North Texas,teamrankings,-5.5,71.5,,Louisiana Tech -5.5
401114306,2019,11,Louisiana Tech,North Texas,numberfire,-5.5,72.5,,Louisiana Tech -5.5
401114306,2019,11,Louisiana Tech,North Texas,consensus,-5.5,71.5,,Louisiana Tech -5.5
401114306,2019,11,Louisiana Tech,North Texas,Caesars,-5.5,72.0,,Louisiana Tech -5.5
401114308,2019,11,Southern Miss,UAB,Bovada,-7.5,49.5,,Southern Miss -7.5
401114308,2019,11,Southern Miss,UAB,teamrankings,-7.0,49.5,,Southern Miss -7
401114308,2019,11,Southern Miss,UAB,numberfire,-7.0,49.0,,Southern Miss -7
401114308,2019,11,Southern Miss,UAB,consensus,-7.5,49.5,,Southern Miss -7.5
401114308,2019,11,Southern Miss,UAB,Caesars,-7.0,49.5,,Southern Miss -7
401110848,2019,11,South Carolina,App State,Bovada,-7.0,51.0,,South Carolina -7.0
401110848,2019,11,South Carolina,App State,teamrankings,-6.5,51.0,,South Carolina -6.5
